r11812	40540	9628566
r11813	40540	9628566
r11814	40540	9628566
r7004	271108	9630816
r7005	271108	9630816
r7006	271108	9630816
r7007	271108	9630816
r7008	271108	9630816
r7009	271108	9630816
r7010	271108	9630816
r7011	271108	9630816
r7012	271108	9630816
r7013	271108	9630816
r7014	271108	9630816
r7015	271108	9630816
r7016	271108	9630816
r7017	271108	9630816
r7018	271108	9630816
r7019	271108	9630816
r7020	271108	9630816
r7021	271108	9630816
r7022	271108	9630816
r7023	271108	9630816
r7024	271108	9630816
r7025	271108	9630816
r7026	271108	9630816
r7027	271108	9630816
r7028	271108	9630816
r7029	271108	9630816
r7030	271108	9630816
r7031	271108	9630816
r7032	271108	9630816
r7033	271108	9630816
r7034	271108	9630816
r7035	271108	9630816
r7036	271108	9630816
r7037	271108	9630816
r7038	271108	9630816
r7039	271108	9630816
r7040	271108	9630816
r7041	271108	9630816
r7042	271108	9630816
r7043	271108	9630816
r7044	271108	9630816
r7045	271108	9630816
r7046	271108	9630816
r7047	271108	9630816
r7048	271108	9630816
r7049	271108	9630816
r7050	271108	9630816
r7051	271108	9630816
r7052	271108	9630816
r7053	271108	9630816
r7054	107806	10957103
r7055	107806	10957103
r4755	224325	11497621
r4756	224325	11497621
r4757	224325	11497621
r4758	224325	11497621
r4759	224325	11497621
r4760	224325	11497621
r4761	224325	11497621
r4762	224325	11497621
r4763	224325	11497621
r4764	224325	11497621
r4765	224325	11497621
r4766	224325	11497621
r4767	224325	11497621
r4768	224325	11497621
r4769	224325	11497621
r4770	224325	11497621
r4771	224325	11497621
r4772	224325	11497621
r4773	224325	11497621
r4774	224325	11497621
r4775	224325	11497621
r4776	224325	11497621
r4777	224325	11497621
r4778	224325	11497621
r4779	224325	11497621
r4780	224325	11497621
r4781	224325	11497621
r4782	224325	11497621
r4783	224325	11497621
r4784	224325	11497621
r4785	224325	11497621
r4786	224325	11497621
r4787	224325	11497621
r4788	224325	11497621
r4789	224325	11497621
r4790	224325	11497621
r4791	224325	11497621
