r6115.1	272561	15604717
r6116.1	272561	15604717
r6117.1	272561	15604717
r6118.1	272561	15604717
r6119.1	272561	15604717
r6120.1	272561	15604717
r6121.1	272561	15604717
r6122.1	272561	15604717
r6123.1	272561	15604717
r6124.1	272561	15604717
r6125.1	272561	15604717
r6126.1	272561	15604717
r6127.1	272561	15604717
r6128.1	272561	15604717
r6129.1	272561	15604717
r6130.1	272561	15604717
r6131.1	272561	15604717
r6132.1	272561	15604717
r6133.1	272561	15604717
r6134.1	272561	15604717
r6135.1	272561	15604717
r6136.1	272561	15604717
r6137.1	272561	15604717
r6138.1	272561	15604717
r6139.1	272561	15604717
r6140.1	272561	15604717
r6141.1	272561	15604717
r6142.1	272561	15604717
r6143.1	272561	15604717
r6144.1	272561	15604717
r6145.1	272561	15604717
r6146.1	272561	15604717
r6147.1	272561	15604717
r6148.1	272561	15604717
r6149.1	272561	15604717
r6150.1	272561	15604717
r6151.1	272561	15604717
r6152.1	272561	15604717
r6153.1	272561	15604717
r6154.1	272561	15604717
r6155.1	272561	15604717
r6156.1	272561	15604717
r6157.1	272561	15604717
r6158.1	272561	15604717
r6159.1	272561	15604717
r6160.1	272561	15604717
r6161.1	272561	15604717
r6162.1	272561	15604717
r6163.1	272561	15604717
r6164.1	272561	15604717
r6165.1	272561	15604717
r6166.1	272561	15604717
r6167.1	272561	15604717
r6168.1	272561	15604717
r6169.1	272561	15604717
r6170.1	272561	15604717
r6171.1	272561	15604717
r6172.1	272561	15604717
r6173.1	272561	15604717
r6174.1	272561	15604717
r6175.1	272561	15604717
r6176.1	272561	15604717
r6177.1	272561	15604717
r6178.1	272561	15604717
r6179.1	272561	15604717
r6180.1	272561	15604717
r6181.1	272561	15604717
r6182.1	272561	15604717
r6183.1	272561	15604717
r6184.1	272561	15604717
r6185.1	272561	15604717
r6186.1	272561	15604717
r6187.1	272561	15604717
r6188.1	272561	15604717
r6189.1	272561	15604717
r6190.1	272561	15604717
r6191.1	272561	15604717
r6192.1	272561	15604717
r6193.1	272561	15604717
r6194.1	272561	15604717
r6195.1	272561	15604717
r6196.1	272561	15604717
r6197.1	272561	15604717
r6198.1	272561	15604717
r6199.1	272561	15604717
r6200.1	272561	15604717
r6201.1	272561	15604717
r6202.1	272561	15604717
r6203.1	272561	15604717
r6204.1	272561	15604717
r6205.1	272561	15604717
r6206.1	272561	15604717
r6207.1	272561	15604717
r6208.1	272561	15604717
r6209.1	272561	15604717
r6210.1	272561	15604717
r6211.1	272561	15604717
r6212.1	272561	15604717
r6213.1	272561	15604717
